Protein,A0,A1,A2,B0,B2,C0,C2,C3,D0,D2,D3,E0,E1,E2,F0,F1,F2
IL-3 R alpha,9974.0,8932.51,19929.7,6032.81,10532.71,6548.18,3623.52,7175.66,4570.26,3474.94,5825.31,4973.67,10082.51,8935.81,47112.36,56323.43,250279.01
IL-4,2825.5,4674.57,21492.71,8134.28,17633.1,8246.23,2307.86,2667.75,3982.63,3675.5,6061.31,4852.04,15330.65,2090.03,39679.08,45770.6,219270.56
IL-4 R,26541.5,58506.7,36709.7,37979.41,28353.87,32491.26,44671.23,35260.06,49939.62,65741.51,32589.88,44247.82,37871.37,7281.84,36172.81,32155.5,53548.75
IL-5,18015.0,31730.08,24741.53,21556.98,14937.85,17834.8,23447.09,8356.13,12595.09,27230.14,14416.66,29011.82,55847.26,32567.76,42598.59,40630.71,58496.24
IL-5 R alpha,3170.5,10809.86,6577.74,6670.2,6453.08,5433.87,6907.9,4134.43,2961.05,8926.56,2594.32,5585.78,8373.77,1306.78,41887.2,45450.15,59153.5
IL-6,21846.5,40796.11,25931.48,21126.14,17676.78,20847.42,29123.57,8410.94,18400.17,47705.9,23184.23,41220.18,44701.52,16053.71,28658.64,32217.63,32365.04
IL-6 R,890.75,1042.41,4327.37,3120.27,7600.38,4007.79,0.87,1362.87,582.03,0.96,1.13,2118.42,11477.39,1093.17,19284.32,22010.6,38889.95
IL-7,19840.5,31795.15,31892.03,22791.42,13318.52,16361.72,28374.96,8557.66,15234.99,29646.69,16276.47,34412.18,43229.03,9508.75,29910.75,35075.54,40212.36
IL-7 R alpha,2303.5,2865.25,12445.9,2569.6,9639.8,3126.74,3492.48,3460.82,2336.28,1344.18,902.56,1190.44,1487.17,599.99,19327.67,29586.17,72848.56
IL-8,25443.0,41773.66,38676.18,23163.5,20075.81,20259.54,27926.54,15872.22,15959.49,23732.08,27950.78,46656.29,84843.02,26975.22,25781.71,28930.14,36431.79
IL-9,9029.0,16522.19,7728.22,10808.56,3291.4,8894.88,10910.4,1941.37,5321.85,5547.44,4248.59,18894.07,17702.68,5086.94,52958.34,52691.78,83186.72
IL-10,13624.25,26924.52,19835.56,15028.99,11620.08,15748.04,19214.07,8724.98,10763.29,12759.28,20475.43,30637.11,50119.3,30020.43,54888.94,45164.85,64632.42
IL-10 R alpha,718.0,0.85,1.17,1435.41,6791.65,1234.12,39.4,1.16,798.3,0.96,1.13,72.18,2482.38,1.1,21416.96,28452.33,75201.56
IL-10 R beta,1093.0,264.72,1243.74,2308.96,4958.95,3304.92,2114.12,1199.04,511.03,0.96,1.13,438.16,3616.74,1.1,15868.23,17979.21,43783.73
IL-11,10918.75,15287.95,10921.19,13399.15,13903.23,9207.07,11018.37,2754.74,7964.33,10356.45,4686.75,20207.46,27457.5,9649.5,20471.4,21835.66,37046.61
IL-12 p40,1586.5,177.89,994.35,1909.37,1828.71,2384.3,710.95,1.16,1026.25,0.96,1.13,284.97,1.13,1.1,13583.09,14399.47,64835.61
IL-12 p70,1611.0,0.85,820.98,1837.56,1.07,2786.13,222.47,1.16,716.79,0.96,1.13,479.22,13280.4,444.89,23042.56,21400.35,81943.18
IL-12 R beta 1,4417.5,11301.91,7032.67,1301.82,6551.91,3861.53,7813.23,1292.12,4693.12,7966.63,3557.22,8754.25,11043.01,3344.1,69373.86,59274.11,119489.31
IL-12 R beta 2,1230.25,1586.85,1869.12,2120.59,854.82,3381.65,2605.43,1.16,1902.1,591.56,1.13,3109.76,1.13,1.1,50113.15,42673.59,117285.05
IL-13,14295.25,29046.52,15960.19,16032.63,6061.5,15945.9,23601.65,6092.9,11264.74,24575.0,10445.52,29526.8,29120.23,13384.12,100750.74,99570.88,119449.5
IL-13 R alpha 1,3518.75,9952.74,11962.03,9365.7,17441.57,7519.09,11032.95,6532.5,4848.67,4475.56,6187.35,10709.11,9239.15,2967.93,57627.7,58945.9,77500.09
IL-13 R alpha 2,1250.25,2756.66,7504.56,1581.35,6287.93,4196.24,1099.29,997.5,879.35,0.96,1.13,171.95,5430.76,1.1,43852.63,42824.0,99815.05
IL-15,19141.5,30712.6,28065.19,21726.7,15563.05,18697.92,24862.24,7862.02,19670.03,33582.69,15849.3,31286.75,35487.49,9936.25,40527.88,35442.58,54814.45
IL-15 R alpha,1338.0,1979.18,5352.71,3759.29,11298.02,3228.4,1462.16,3129.67,1362.81,827.75,1.13,4626.45,8280.35,2331.51,37108.69,79368.95,153923.03
IL-16,1066.5,0.85,1367.42,1765.29,1051.14,2080.41,395.09,1.16,844.31,0.96,1.13,48.34,1065.49,1.1,19740.26,21340.27,65450.43
IL-17,8732.0,16771.71,10864.77,10522.97,3430.99,9047.7,11568.88,3132.57,3986.6,7856.36,4505.45,18594.53,19802.61,5343.32,40250.75,35698.86,56998.43
IL-17B,3809.0,4788.87,12995.27,6053.79,8004.22,6549.71,3540.37,7254.53,5060.27,7445.38,7946.78,7868.65,17829.13,6220.13,28027.37,29626.23,68794.2
IL-17B R,18217.0,13914.91,59066.66,19475.09,44035.46,20335.18,8001.96,66766.14,12065.61,57174.89,59150.02,13780.01,66039.57,36077.17,32439.72,41127.33,64614.4
IL-17C,2367.5,8901.25,11692.17,7807.66,24007.59,5610.95,7869.39,12902.9,3538.87,13052.77,18627.18,12337.27,20028.7,9635.43,27916.28,43890.81,58000.47
IL-17D,2556.0,2120.1,3142.39,1214.4,1169.41,6302.45,5714.78,3115.75,383.97,0.96,1.13,79.47,1.13,1.1,11850.27,18926.25,49550.72
IL-17E,6435.0,1903.97,18302.37,8359.02,10227.43,6820.59,2792.2,2986.72,2568.2,1030.95,3800.83,2219.74,8365.31,1648.45,28566.14,33322.45,83754.21
IL-17F,33516.25,62821.27,100107.24,64226.58,104784.72,56487.27,58664.21,111547.73,40899.06,81114.76,88660.04,56531.01,139164.73,60281.24,68502.22,71438.6,155547.03
IL-17R,4358.5,5318.1,9050.9,6275.97,4618.52,8858.81,4620.28,7220.89,7705.08,5871.27,7309.83,5145.4,10257.51,4681.24,20060.35,22396.86,51128.9
IL-17RC,1697.5,3561.17,8228.76,3525.92,4294.06,3154.07,1668.31,1903.67,2189.14,3196.38,851.52,1785.33,3375.7,1785.89,24747.51,30934.19,91077.61
IL-17RD,6209.0,12126.5,14898.31,8729.71,9254.61,9806.32,13045.85,6254.7,10295.94,13340.24,6691.49,8109.47,10529.31,845.61,45657.05,48035.43,101096.89
IL-18 BPa,4189.25,4401.82,36220.57,6987.96,17948.76,12393.06,16381.6,19183.41,3147.66,3750.14,6170.43,4104.84,21708.08,1859.58,43744.26,62274.67,100590.99
IL-18 R alpha /IL-1 R5,3185.25,1378.54,14122.65,5990.38,12715.17,8119.21,6671.06,4823.69,1953.48,771.17,3897.83,988.46,10369.56,1163.55,49366.92,56393.32,89563.28
IL-18 R beta/AcPL,1294.75,1022.13,9621.9,3576.28,12632.86,4708.69,1342.44,5990.25,1354.87,0.96,3234.94,1065.94,7343.0,1514.6,44337.99,46019.12,70748.33
IL-19,2564.75,2944.27,15828.92,4217.86,11613.42,2105.77,3426.3,10635.61,1662.47,2928.65,9859.61,3400.47,30486.32,8856.32,28857.97,24581.16,73974.17
IL-20,3741.25,2868.63,4355.73,3349.2,1413.42,7701.64,6537.4,3294.67,2306.15,1036.25,821.92,1016.72,2955.15,502.01,43482.23,57093.49,142129.89
IL-20 R alpha,3568.75,7407.78,5529.6,5316.39,1694.98,5140.04,6168.0,731.6,2888.65,9083.78,2474.49,11832.44,8547.64,2126.18,63641.66,70324.38,105959.5
IL-20 R beta,877.5,575.5,4084.41,2273.99,4475.73,2704.8,1385.76,1273.56,928.86,0.96,1.13,515.64,3416.91,7.18,34981.47,45479.17,120511.26
IL-21,32208.25,59661.3,42340.46,34514.1,32728.64,31608.02,36240.87,21821.58,26465.4,56061.12,54878.32,49565.62,57962.16,35472.49,50674.75,55419.3,85419.15
IL-21 R,904.5,370.57,2263.53,3796.36,5623.57,1985.09,969.99,1090.59,724.26,0.96,1.13,320.95,3132.12,2775.85,57943.53,45862.98,107816.35
IL-22,1489.0,2267.57,7772.66,3206.76,6721.06,7521.49,5061.52,6417.67,9578.68,1407.75,1.13,1441.86,1540.52,536.51,27377.51,35828.43,68854.67
IL-22 BP,1435.0,1207.41,11650.07,1284.1,6069.49,2851.49,2385.79,2663.4,1203.29,890.59,1.13,307.27,846.75,1.1,25154.3,24705.82,74430.5
